Contexto_H,SubCuenca,Cod_Muestra,Cod_SNGM,Nombre_Pto, UTM_Este , UTM_Norte , Elevacion ,Tipo_Pto,Categoría,Campaña,Fecha,Tipo_Piper,Salinidad,Balan_Ionico, Oxigeno_18 , Deuterio , Ex_deuterio , D_O ,pH_Terr,pH_Lab, CE_terr , CE_Lab_uS_cm , OD _ , OD ppm , Temp_Terr°C ,CO3_mg/l,HCO3_mg/l, SO4_mg_l , Cl_mg_l ,NO3_mg_l, Ca_mg_l , Mg_mg_l , Na_mg_l ,K_mg_l,Li_mg_l,F_mg_l,Al_mg_l,Sb_mg_l,As_mg_l,Ba_mg_l,Be_mg_l,B_mg_l,Cd_mg_l,Co_mg_l,Cu_mg_l,Cr_mg_l,Sn_mg_l,P_mg_l,Fe_mg_l,Mn_(mg_l,Hg_mg_l,Mo_mg_l,Ag_mg_l,Pb_mg_l,Se_mg_l,V_mg_l,Zn_mg_l,Br_mg_l,Rb_mg_l,Sr_mg_l,Y_mg_l,Cs_mg_l,Hf_mg_l,Ta_mg_l,Tl_mg_l,Th_mg_l,U_mg_l,Ni_mg_l,SiO2_mg_l,I_mg_l, SSD (mg_l) , SDT (mg/l) , Alca_CaCO3 , TDS_meq_l ,Balan_abso,Balan_10%,Balan_5%, Cat_r_tot , An_r_tot ,rNa_rK,rNa,rK,rCa,rMg,rLi,rB,rAs,rFe,rAl,rMn,rZn,rHCO3_rCO3,rHCO3,rSO4,rCl,rNO3,rCO3,rF,rBr,rCa_rCO3,rCa_rSO4,rNa_rCl,rBr_rCl,rMg_rCa,ICB,rCat_tot,%Ca,%Mg,%Na_K,CatX,CatY,rAn_tot,%HCO3_CO3,%SO4,%Cl,AnX,AnY,CeX,CeY,Anion,Cation,K_Na-Cl,Ca_Mg-SO4-HCO3,RAS,Info-qca,Cod-lab,Info-OD,Na100
A2,Río Limarí,LIM-LL-013,SNGM-LIM-0559,Dren en viña Ocho Tierras,279798,6608816,156,Subterránea,Dren,Campaña 7,12-03-2020,Clorurada mixta,Salobre,-0.8,-7.3,-64.7,-6.3,8.86,7.12,8.19,4178,4650,54.5,4.5,23.3,0,341.66,556.105,1135.39,59.635,352.5,155,412.5,9.8,0.04,0.18,0.01,0.005,0.0025,0.0597,0.001,0.4644,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.0078,0.00015,0.0025,0.001,0.001,0.0025,0.0037,0.005,2.9942,0.0005,2.1748,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0083,0.0025,,,2849,3009,280,99.587,0.800203,Admisible,Admisible,49.377,50.174,18.19324,17.94258,0.25065,17.5907,12.75458,0.00576,0.83087,0.00017,0.00027,0.00111,0.00057,0.00015,5.59952,5.59952,11.57816,32.02508,0.96179,0,0.00947,0.03747,#¡DIV/0!,1.5193,0.56027,0.00117,0.72508,0.43191,48.53851,0.36,0.26,0.37,0.50621,0.22757,49.20276,0.11,0.24,0.65,1.86854,0.20379,1.18051,1.39549,Clorurada,mixta,-13.83184,13.16759,4.606323531,2021-011(2),8658-20,IE 009-22,36.96566549
A2,Río Limarí,LIM-FF-066,SNGM-LIM-0399,Pozo 1 cabañas Fray Jorge en Oruro,260321,6608934,212,Subterránea,Pozo,Campaña 4,01-06-2019,Clorurada sódica,Dulce mineralizada,-2.93,-5.24,-31.2,10.69,5.96,7.4,8.3,1515,1552,55.2,5.01,20.5,9.7,320,62,330,16,90,30,185,2.8,0.01,0.1,0.01,0.005,0.0025,0.063,0.001,0.03,0.001,0.001,0.005,0.003,0.0015,0.025,0.044,0.009,,0.0025,0.001,0.001,0.051,0.007,0.042,1.47,0.0005,0.78,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.007,0.0025,,,883,932,278,31.939,2.934135,Admisible,Admisible,15.493,16.43,8.11859,8.04698,0.07161,4.49124,2.46863,0.00144,0.40792,0.00017,0.00236,0.00111,0.00066,0.00128,5.56782,5.24453,1.29085,9.3081,0.25805,0.32329,0.00526,0.0184,13.89229,3.4793,0.86451,0.00198,0.54965,0.12779,15.07846,0.3,0.16,0.54,0.62028,0.14178,16.16677,0.34,0.08,0.58,1.71568,0.06915,1.14701,1.05411,Clorurada,sódica,-1.18951,0.42449,4.313672733,2019-067,8469-19,IE 052-19,53.36735972
A2,Río Limarí,LIM-JC-087,SNGM-LIM-0492,Noria dren AdV Punitaqui,284469,6584868,230,Subterránea,Noria,Campaña 7,16-03-2020,Bicarbonatada mixta,Dulce mineralizada,-0.55,-6.25,-46.2,3.84,7.39,7.32,8.62,909,924,33.3,2.84,20.97,25.72,317.53,101.4,71.72,4.372,73.5,38.9,73,2.9,0.02,0.23,0.01,0.005,0.0025,0.0493,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.0753,0.005,0.0015,0.00015,0.0079,0.001,0.001,0.0025,0.0196,0.005,0.1524,0.0005,0.3331,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0028,0.0025,,,548,579,302,20.444,0.551439,Admisible,Admisible,10.165,10.278,3.24947,3.17529,0.07417,3.66785,3.20099,0.00288,0.04228,0.00017,0.00027,0.00111,0.00011,0.00015,6.06127,5.20405,2.11116,2.02296,0.07051,0.85722,0.01211,0.00191,4.27878,1.73736,1.56963,0.00094,0.87272,-0.60629,10.1183,0.36,0.32,0.32,0.47933,0.27397,10.19539,0.59,0.21,0.2,1.40195,0.17933,0.91332,1.02567,Bicarbonatada,mixta,1.22651,-0.44638,1.713394387,2021-011(1),8639-20,IE 005-22,31.38168648
A2,Río Limarí,LIM-FF-033,SNGM-LIM-0399,Pozo 1 cabañas Fray Jorge en Oruro,260321,6608934,212,Subterránea,Pozo,Campaña 2,10-03-2019,Clorurada sódica,Dulce mineralizada,-4.4,-5.06,-33.1,7.39,6.54,7.48,8.26,1860,1561,41.2,3.45,22.67,4.6,307,60,315.8,16.96,53,28,214,1.7,0.03,0.1,,0.01,0.005,0.0025,0.078,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.032,,0.0015,0.0025,0.001,0.001,0.042,0.007,1.28,0.0005,0.83,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.007,0.0025,,,844,892,259,30.298,4.395135,Admisible,Admisible,14.305,15.62,9.35188,9.30839,0.04348,2.64484,2.30405,0.00432,0.35519,0.00033,0.00134,,0.00233,0.00021,5.18479,5.03148,1.24921,8.90757,0.27353,0.15331,0.00526,0.01602,17.25127,2.11722,1.045,0.0018,0.87115,-0.04988,14.30077,0.18,0.16,0.65,0.7345,0.13953,15.34156,0.34,0.08,0.58,1.72133,0.07052,1.20799,0.95964,Clorurada,sódica,0.44431,-1.33179,5.917464626,2019-031,8326-19,IE 038-19,65.09016315
A2,Río Limarí,LIM-JC-026,SNGM-LIM-0399,Pozo 1 cabañas Fray Jorge en Oruro,260321,6608934,212,Subterránea,Pozo,Campaña 2,10-03-2019,Clorurada sódica,Dulce mineralizada,1.19,-5.2,-29.5,12.03,5.69,7.39,7.51,1788,1476,47.8,4.05,22.4,0,301.35,60.305,286.96,13.985,88.8,25,183.8,4.2,0.02,0.11,0.023,0.005,0.0025,0.0727,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.0184,0.0015,0.00015,0.0025,0.001,0.001,0.009,0.0091,0.0578,0.9751,0.0005,0.8011,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0083,0.0025,10.696,,811,857,247,29.397,1.19078,Admisible,Admisible,14.87,14.52,8.1022,7.99478,0.10742,4.43136,2.05719,0.00288,0.27057,0.00017,0.00099,0.00251,0.00011,0.00177,4.93888,4.93888,1.25556,8.09401,0.22555,0,0.00579,0.0122,#¡DIV/0!,3.5294,0.98774,0.00151,0.46423,-0.00101,14.59075,0.3,0.14,0.56,0.62579,0.1221,14.28844,0.35,0.09,0.57,1.71041,0.0761,1.15482,1.03841,Clorurada,sódica,0.00819,0.29412,4.438617778,2019-029,8284-19,IE 035-19,54.79347908
A2,Río Limarí,LIM-FF-034,SNGM-LIM-0559,Dren en viña Ocho Tierras,279798,6608816,156,Subterránea,Dren,Campaña 2,11-03-2019,Clorurada mixta,Salobre,-4.78,-7.64,-64.1,-2.94,8.39,7.48,8.08,4513,4830,29.1,2.37,22.37,0,288,578.4,1191.4,54.3,305,170,395,7,0.04,0.18,,0.01,0.005,0.0025,0.056,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.03,,0.033,0.0025,0.001,0.001,0.073,0.0015,2.08,0.0005,2.55,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.007,0.0025,,,2843,3003,236,98.433,4.781155,Admisible,Admisible,46.575,51.253,17.36042,17.18138,0.17904,15.22032,13.98889,0.00576,0.57719,0.00033,0.00134,,0.00218,0.00005,4.72008,4.72008,12.04235,33.60505,0.87575,0,0.00947,0.02603,#¡DIV/0!,1.2639,0.51127,0.00077,0.91909,0.4834,46.56963,0.33,0.3,0.37,0.52298,0.26014,50.36748,0.09,0.24,0.67,1.88674,0.20706,1.18954,1.41466,Clorurada,mixta,-16.24463,12.44678,4.495864412,2019-031,8327-19,IE 038-19,36.89396384
A2,Río Limarí,LIM-LM-016,SNGM-LIM-0492,Noria dren AdV Punitaqui,284469,6584868,230,Subterránea,Noria,Campaña 3,15-05-2019,Mixta,Dulce mineralizada,-2.7,-6.21,-45.1,4.63,7.25,7.33,8.41,999,903,54.1,4.75,20.32,7.36,284.47,115.585,90.94,4.246,47.5,42.5,80,3.22,0.02,0.16,,,,,,,,,,,,,,,0.00015,,,,,,,,,,,,,,,,,,,,531,561,245,,2.699917,Admisible,Admisible,9.433,9.956,3.56213,3.47977,0.08236,2.37038,3.49722,0.00288,,,,,,,4.90753,4.66223,2.40649,2.56517,0.06848,0.2453,0.00842,,9.66315,0.98499,1.35655,,1.47539,-0.38865,9.42973,0.25,0.37,0.38,0.56319,0.32118,9.87919,0.5,0.24,0.26,1.48145,0.21096,0.9905,1.06131,Mixta,mixta,0.99696,-1.20112,2.031588487,2019-051,8418-19,IE 045-19,36.90215151
A2,Río Limarí,LIM-FF-055,SNGM-LIM-0343,Pozo 2 Parcela 6 en Camarico,279972,6602807,262,Subterránea,Pozo,Campaña 4,29-05-2019,Bicarbonatada mixta,Dulce moderadamente mineralizada,5.59,-8.28,-62.6,3.69,7.55,7.68,8.29,1001,1018,27.9,2.53,20.64,3.4,259,94,30,4.4,57,33,55,1.6,0.02,0.09,0.029,0.005,0.0025,0.024,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.0015,,0.0025,0.001,0.001,0.038,0.006,0.005,0.34,0.0005,0.88,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.004,0.0025,,,406,428,218,15.332,5.591566,Admisible,Descartar,8.094,7.237,2.43327,2.39234,0.04092,2.84445,2.71549,0.00288,0.09435,0.00017,0.00027,0.00322,0.00011,0.00015,4.35811,4.2448,1.95709,0.84619,0.07096,0.11332,0.00474,0.00426,25.10146,1.45341,2.82719,0.00503,0.95466,-1.87555,7.99321,0.36,0.34,0.3,0.47428,0.29421,7.16139,0.61,0.27,0.12,1.3548,0.23667,0.89793,1.028,Bicarbonatada,mixta,1.58708,-0.64194,1.434840112,2019-067,8460-19,IE 048-19,29.92970433
A2,Río Limarí,LIM-JC-070,SNGM-LIM-0505,Noria casa Valle del Encanto,273082,6601001,210,Subterránea,Noria,Campaña 7,10-03-2020,Mixta,Dulce mineralizada,-0.69,-6.08,-43.2,5.44,7.1,7.19,8.79,1106,1061,42.1,3.59,21.29,17.14,254.02,109.049,127.85,39.949,57.5,33.9,121.3,0.4,0.01,0.34,0.01,0.005,0.0025,0.0535,0.001,0.0846,0.001,0.001,0.005,0.0005,0.0015,0.025,0.2477,0.0015,0.00015,0.0025,0.001,0.001,0.0025,0.0155,0.005,0.5687,0.0005,0.4328,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0023,0.0025,,,632,668,236,22.398,0.685965,Admisible,Admisible,11.12,11.273,5.28644,5.27621,0.01023,2.8694,2.78955,0.00144,0.15782,0.00017,0.01331,0.00111,0.00011,0.00015,4.73443,4.16318,2.27041,3.60607,0.6443,0.57126,0.0179,0.00712,5.02296,1.26383,1.46315,0.00197,0.97217,-0.46598,10.94539,0.26,0.25,0.48,0.61041,0.22072,10.61092,0.45,0.21,0.34,1.54683,0.1853,1.0684,1.01397,Mixta,mixta,1.68037,-0.77463,3.136669351,2021-011(1),8622-20,IE 005-22,48.20482539
A2,Río Limarí,LIM-FF-026,SNGM-LIM-0336,Pozo Los Corrales de Talhuén,280852,6626620,369,Subterránea,Pozo,Campaña 2,09-03-2019,Bicarbonatada mixta,Dulce mineralizada,-4.26,-4.74,-36,1.91,7.6,7.33,8.08,784,842,47.1,3.76,24.13,0,254,86,66,63,49,26,79,1.1,0.01,0.21,0.01,0.005,0.0025,0.02,0.001,0.03,0.001,0.001,0.005,0.001,0.0015,0.025,0.071,0.0015,,0.0025,0.001,0.001,0.016,0.023,0.012,0.23,0.0018,0.25,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.001,0.0025,,,493,521,208,16.963,4.257506,Admisible,Admisible,8.12,8.842,3.46441,3.43628,0.02813,2.44523,2.13948,0.00144,0.06382,0.00017,0.00381,0.00111,0.00011,0.00037,4.16285,4.16285,1.79053,1.86162,1.01606,0,0.01105,0.00288,#¡DIV/0!,1.36565,1.84585,0.00155,0.87496,-0.86097,8.04912,0.3,0.27,0.43,0.56331,0.23019,7.815,0.53,0.23,0.24,1.45277,0.19842,0.99887,0.9846,Bicarbonatada,mixta,1.60279,-1.36867,2.269588997,2019-031,8319-19,IE 038-19,42.69133141
