,Cod_Muestra,Fecha,Tipo,UTM_Este,UTM_Norte,SO4,NO3,Ca,Mg,K,Na,CO3,HCO3,Cl,Fe,Cu,pH,mSO4,O18,Deuterio,TDS mg/l,EC,Salinidad,rCa,rMg,rK,rNa,rCl,rSO4,rCO3,rHCO3,rNO3,Suma Aniones [meq/l],Suma Cationes [meq/l],Balance %,O2,Li,F,Al,Sb,As,Ba,Be,B,Cd,Co,Cr,Sn,P,Mn,Hg,Mo,Ni,Ag,Pb,Se,V,Zn,Si,eH,Do,T
0,CPO-CE-058,27-01-2010 0:00,Pozo,343167,6975132,1184,8.4,260,110,7.1,360,0,361,193,1.1,0.005,7.45,12.32562981,,,2300.17,2910,Salobre,12.97469934,9.051635466,0.181593573,15.65911839,5.443873104,24.65033582,0,5.916374262,0.135473164,36.14605635,37.86704677,2.325250996,5.83,0.46,0.38,0.01,0.005,0.006,0.012,0.001,3.69,0.001,0.001,0.001,0.0015,0.025,0.0015,,0.0025,,0.001,0.001,0.012,0.004,0.005,,,,
1,CPO-CE-015,28-08-2008 0:00,Pozo,361253,6977648,834,27.7,260,72.5,5,187.5,0,322,159,1.853,0.005,7.24,8.682073704,,,1704.54,2000,Salobre,12.97469934,5.965850648,0.127882798,8.155790829,4.484848827,17.36349668,0,5.277209176,0.446738887,27.57229357,27.22422361,-0.635204534,5.64,0.28,0.42,0.01,0.005,0.0025,0.017,0.001,2.29,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.005,0.019,,,,
2,CPO-CE-007A,12-06-2008 0:00,Pozo,389733,6921199,407,17.5,167.5,36.25,2.9,77.5,0,221,65,0.493,0.005,0,4.236935249,-11.12,-85.7,883.77,1240,Dulce mineralizada,8.358700534,2.982925324,0.074172023,3.371060209,1.833428766,8.473552938,0,3.62193549,0.282235759,14.21115295,14.78685809,1.985326293, ,0.23,0.56,0.01,0.005,0.0025,0.018,0.001,0.86,0.001,0.001,0.001,0.0015,0.025,0.004,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.004,0.005,,,,
3,CPO-RT-027,01-10-2009 0:00,Pozo,389733,6921199,415,20.1,140,35.5,2.9,97.5,0,214,68,0.602,0.005,7.37,4.320216531,,,884.53,1240,Dulce mineralizada,6.986376566,2.921209628,0.074172023,4.241011231,1.918048555,8.640109261,0,3.507213552,0.324167929,14.3895393,14.22276945,-0.582860511,3.67,0.22,0.59,0.01,0.005,0.0025,0.018,0.001,0.6,0.001,0.001,0.0005,0.0015,0.025,0.003,,0.0025,0.0025,0.001,0.001,0.0025,0.004,0.005,,,,
4,CPO-PF-065,13-06-2008 0:00,Pozo,392383,6919737,436,22.9,180,38.75,2.7,77.5,0,215,90,0.622,0.005,7.29,4.538829898,,,954.18,1291,Dulce mineralizada,8.982484156,3.188644312,0.069056711,3.371060209,2.538593676,9.077319609,0,3.5236024,0.36932565,15.50884133,15.61124539,0.329060951,5.97,0.3,0.57,0.01,0.005,0.005,0.017,0.001,0.74,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.005,0.004,0.011,,,,
5,CPO-RC-030,11-12-2008 0:00,Pozo,368912,6970775,619,18.532,210,54.5,4.7,127.5,0,305,106,0.974,0.005,7.13,6.443889236,-10.67,-84.9,1291.98,1702,Salobre,10.47956485,4.484673935,0.12020983,5.545937764,2.989899218,12.8872955,0,4.998598753,0.298879605,21.17467308,20.63038638,-1.301963699, ,0.3,0.55,0.01,0.005,0.0025,0.013,0.001,1.22,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.013,0.0025,0.004,0.014,,,,
6,CPO-RC-023,05-12-2008 0:00,Pozo,392898,6918500,435,30.504,177.5,41.75,3.1,80,0,223,82,0.396,0.005,7.21,4.528419738,-11.15,-83.8,961.02,1361,Dulce mineralizada,8.857727432,3.435507097,0.079287335,3.479804087,2.312940904,9.056500069,0,3.654713187,0.491961119,15.51611528,15.85232595,1.071811854,7.49,0.24,0.69,0.01,0.005,0.006,0.019,0.001,1.36,0.001,0.001,0.002,0.0015,0.09,0.0015,0.00015,0.005,0.0025,0.001,0.061,0.009,0.004,0.167,,,,
7,CPO-RT-077,10-06-2010 0:00,Pozo,392898,6918500,470,24,160,41,3.6,80,0,208,87,0.8,0.005,7.26,4.892775349,,,969,1410,Dulce mineralizada,7.984430361,3.373791401,0.092075615,3.479804087,2.453973886,9.785183982,0,3.408880461,0.387066183,16.03510451,14.93010146,-3.568531244,6.28,0.2,0.46,0.01,0.005,0.0025,0.019,0.001,0.61,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.0023,0.0025,,0.001,0.001,0.008,0.003,0.005,,,,
8,CPO-CE-014,27-08-2008 0:00,Pozo,367535,6971995,568,9.3,177.5,52.5,4,117.5,0,268,94,1.205,0.005,7.17,5.91297106,,,1156.15,1653,Salobre,8.857727432,4.320098745,0.102306238,5.110962253,2.651420061,11.82549894,0,4.392211364,0.149988146,19.01911851,18.39109467,-1.678749705,5.15,0.26,0.56,0.01,0.005,0.006,0.013,0.001,1.53,0.001,0.001,0.111,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.004,0.005,,,,
9,CPO-YP-040,08-12-2008 0:00,Pozo,382852,6931274,478,19.05,180,46.5,4.2,102.5,0,284,76,0.94,0.005,7.08,4.976056631,-10.95,-81.5,1046.83,1405,Salobre,8.982484156,3.826373174,0.10742155,4.458498987,2.143701326,9.951740305,0,4.654432938,0.307233783,17.05710835,17.37477787,0.922602708,6.5,0.26,0.68,0.01,0.005,0.0025,0.015,0.001,0.97,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.003,0.0025,0.005,0.039,,,,
