,Cod_Muestra,Fecha,Tipo,UTM_Este,UTM_Norte,SO4,NO3,Ca,Mg,K,Na,CO3,HCO3,Cl,Fe,Cu,pH,mSO4,O18,Deuterio,Ferrico,Ferroso,TDS,EC,Salinidad,rCa,rMg,rK,rNa,rCl,rSO4,rCO3,rHCO3,rNO3,Suma Aniones [meq/l],Suma Cationes [meq/l],Balance %,O2,Li,F,Al,Sb,As,Ba,Be,B,Cd,Co,Cr,Sn,P,Mn,Hg,Mo,Ni,Ag,Pb,Se,V,Zn,Si,eH,Do,T
1,CPO-RT-039,08-10-2009 00:00:00,Pozo,374442,6958600,799,23.2,290,82.5,5.75,170,0,225,295,1.548,0.005,7.29,8.317718093,-10.36,-79.3,,,1776.72,2400,Salobre,14.47178003,6.788726599,0.147065218,7.394583685,8.320945936,16.63481277,0,3.687490884,0.374163977,29.01741357,28.80215553,-0.372292702,4.87,0.38,0.46,0.01,0.005,0.0025,0.021,0.001,0.99,0.001,0.001,0.002,0.0015,0.025,0.004,,0.0025,0.0025,0.001,0.001,0.009,0.004,0.014,,,,
2,XTERRAE A-1,22-10-2015 00:00:00,IM200,374242,6961890,895.83,0.86,272.5,69.29,6.733,151,0,218.5307762,281.12,0.015,0.005,7.16,9.325733916,-10.85,-82.6,,,1754,1340,Salobre,13.59848296,5.701707468,0.172206976,6.568130214,7.929438378,18.65076887,0,3.581467756,0.013869872,30.17554487,26.04052762,-7.355578347,,,,0.1,,0.1,,,,0.005,,0.005,,,0.154,,0.015,0.025,0.005,0.025,0.1,,0.0025,,,,
3,XTERRAE A-2,22-10-2015 00:00:00,IM135,374055,6962264,2192.05,0.025,1232,15.76,6.09,1119,0,61.06186218,2566.6,0.219,0.005,6.88,22.81959192,-10.02,-77.4,,,9704,6290,Salada,61.48011378,1.296852499,0.155761248,48.67375967,72.39505031,45.63747351,0,1.000733601,0.000403194,119.0336606,111.6064872,-3.220243087,,,,0.238,,0.1,,,,0.005,,0.005,,,0.364,,0.015,0.025,0.005,0.025,0.1,,0.0025,,,,
4,XTERRAE A-3,22-10-2015 00:00:00,IM60,373815,6962167,2066.83,0.39,743,113,12.01,593.3,0,153.2031153,744.7,0.015,0.07,7.27,21.51603165,-7.74,-63.6,,,4004,3730,Salobre,37.07769849,9.298498251,0.307174481,25.80709706,21.00545234,43.03045066,0,2.510822627,0.006289825,66.55301545,72.49046828,4.270212939,,,,0.272,,0.1,,,,0.005,,0.005,,,2.475,,0.015,0.025,0.005,0.025,0.1,,0.0025,,,,
5,XTERRAE A-4,22-10-2015 00:00:00,IM60,373750,6962079,1675.73,2.17,946.4,0.98,3.225,947.1,0,9.140997332,1987.6,0.015,0.005,8.55,17.44461795,-6.69,-57.6,,,7402,6560,Salada,47.22790558,0.080641843,0.082484405,41.19653064,56.06343099,34.88792841,0,0.149810419,0.034997234,91.13616706,88.58756247,-1.418067943,,,,0.005,,0.1,,,,0.005,,0.005,,,0.046,,0.038,0.025,0.005,0.025,0.1,,0.0025,,,,
6,XTERRAE A-6,22-10-2015 00:00:00,P14,374633,6960813,654,2.5,171.7,52.39,3.945,102.8,0,241.4442095,115.04,0.015,0.159,7.1,6.808244847,-10.2,-77.6,,,1224,1190,Salobre,8.568291831,4.31104711,0.100899528,4.471548252,3.244886849,13.61597941,0,3.95699254,0.040319394,20.8581782,17.45178672,-8.891659087,,,,0.005,,0.1,,,,0.005,,0.005,,,0.006,,0.015,0.025,0.005,0.025,0.1,,0.0025,,,,
7,CPM-JC-06,25-04-2018 00:00:00,Pozo,367737,6971991,789,22,270,60,5,195,0,132,318,0.034,0.005,7.16,8.21361649,-9.49,-78.4,,,1724,2550,Salobre,13.47372623,4.937255709,0.127882798,8.482022462,8.969697653,16.42661737,0,2.163327985,0.354810668,27.91445367,27.0208872,-1.626578548,4.23,0.01,0.37,0.01,0.005,0.026,0.026,0.001,2.8,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.012,,0.001,0.001,0.032,0.004,0.029,,,,
8,CPM-JC-07,25-04-2018 00:00:00,Pozo,370829,6968552,649,3.2,243,25,1.8,75,0,55,119,0.036,0.005,7.5,6.756194045,-9.31,-75.1,,,1143,1388,Salobre,12.12635361,2.057189879,0.046037807,3.262316332,3.356584971,13.51188171,0,0.90138666,0.051608824,17.82146217,17.49189763,-0.933257389,5.19,0.01,0.3,0.01,0.005,0.03,0.02,0.001,2.2,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.00015,0.011,,0.001,0.001,0.022,0.004,0.016,,,,
9,VAI 1,01-08-2018 00:00:00,IM200,374440,6962016,729,13.5,305.8,73.3,7.5,174,0,243.150772,200.87,0.001,0.1,7.31,7.589006871,,,,,1668,2094,Salobre,15.26024253,6.031680724,0.191824197,7.568573889,5.665859018,15.17744494,0,3.984961134,0.217724728,25.04598982,29.05232134,7.405649879,,,,0.27,,0.019,,,,,,,,,0.09,,0.0035,0.00015,,,,,1.82,,,,
10,VAI 2,01-08-2018 00:00:00,IM300,374376,6961952,1052,72.2,466.6,113.2,9.6,236.8,0,197.0800994,392.6,0.001,0.12,7.09,10.95148865,,,,,2632,3022,Salobre,23.28459504,9.31495577,0.245534972,10.3002201,11.07390974,21.90215649,0,3.229915866,1.164424102,37.3704062,43.14530588,7.172388506,,,,0.2,,0.023,,,,,,,,,0.069,,0.006,0.00015,,,,,0.00025,,,,
11,VAI 3,01-08-2018 00:00:00,IM170,374469,6962546,886,4.74,406.2,38.8,7.6,306.1,0,181.7232085,218.3,0.001,0.0037,7.18,9.22340204,,,,,1924,2288,Salobre,20.27047258,3.192758692,0.194381853,13.31460039,6.157499993,18.44611278,0,2.97823411,0.076445571,27.65829246,36.97221351,14.41102915,,,,0.41,,0.025,,,,,,,,,0.073,,0.0049,0.00015,,,,,0.00025,,,,
12,VAI 5,01-08-2018 00:00:00,IM256,374533,6962908,498,2.55,197.1,40.7,6.1,136.9,0,189.401654,85.9,0.001,0.0013,7.46,5.184259838,,,,,1076,1377,Salobre,9.835820151,3.349105122,0.156017014,5.954814744,2.42294663,10.36813111,0,3.104074989,0.041125782,15.93627851,19.29575703,9.535294979,,,,0.17,,0.018,,,,,,,,,0.048,,0.0026,0.00015,,,,,0.00025,,,,
13,P1,11-08-2022 00:00:00,IM270 G4,374260,6961641,812.3,,411.5,75.83,8.1,161.8,0,,,0.15,0.22,7.81,8.456173225,,,,,1184.017,2350,Salobre,20.53495683,6.23986834,0.207170133,7.037903766,,16.91171266,0,,,,34.01989907,,,,,0.3,,0.003,,,,0.005,,0.015,,,0.05,,0.25,0.015,0.005,0.01,0.0015,,0.005,,,,
14,P2,11-08-2022 00:00:00,IM200,373853,6961653,997.9,,512.3,81.34,13.3,178.1,0,,,0.94,1.2,7.83,10.38829898,,,,,1260.3504,2507,Salobre,25.56514796,6.693272989,0.340168243,7.746913849,,20.77581935,0,,,,40.34550304,,,,,0.3,,0.006,,,,0.005,,0.015,,,0.21,,0.25,0.015,0.005,0.01,0.0015,,0.06,,,,
15,P3,11-08-2022 00:00:00,HA01,374391,6961861,478.9,,181.1,51.57,6.4,115.3,0,,,22.28,0.04,7.53,4.985425776,,,,,423.114,785,Dulce moderadamente mineralizada,9.037377115,4.243571282,0.163689981,5.01526764,,9.970477892,0,,,,18.45990602,,,,,0.3,,0.0015,,,,0.005,,0.015,,,0.18,,0.25,0.015,0.005,0.01,0.0015,,0.02,,,,
16,P4,11-08-2022 00:00:00,P12,374530,6961290,458.9,,200.3,40.91,4.6,84.3,0,,,14.6,0.01,7.24,4.777222569,,,,,776.5814,1512,Dulce mineralizada,9.995508758,3.366385517,0.117652174,3.666843557,,9.554087084,0,,,,17.14639001,,,,,0.3,,0.0015,,,,0.005,,0.015,,,0.41,,0.25,0.015,,0.01,0.0015,,0.01,,,,
17,CCMO-1491 ,11-08-2022 00:00:00,HA01,374393,6961862,405.81,0.1015,82.006,40.67,4.343,103.688,0,102.85,129.78,9.965,0.00087,7.6,4.224547158,,,0.72,9.25,980,708,Dulce mineralizada,4.092319976,3.346636495,0.111078998,4.510174077,3.66065208,8.448777685,0,1.685593055,0.001636967,13.79665979,12.06020955,-6.715624459,,,,0.114,,0.00085,,,,0.003,,0.00404,,,0.128,,0.00013,0.006,0.003,4.00E-05,0.00198,,0.01155,,,,
18,CCMO-1492 ,11-08-2022 00:00:00,IM200,374440,6962016,885.3,26.4,244.853,66.07,9.686,160.274,0,206.91,249.3,0.638,0.247,7.78,9.216114928,,,0.04,0.6,1856,2458,Salobre,12.21882329,5.436741411,0.247734556,6.971526503,7.031904481,18.43153911,0,3.391016617,0.425772802,29.28023301,24.87482577,-8.134802805,,,,0.031,,0.005,,,,0.003,,0.0111,,,0.184,,0.005,0.007,0.003,0.0065,0.007,,0.011,,,,
19,CCMO-1509 ,11-08-2022 00:00:00,IM270 G4,374260,6961641,795.5,17.7,226.564,61.05,6.654,141.171,0,234.74,236.9,0.075,0.049,7.8,8.281282532,,,0.02,0.06,1736,1236,Salobre,11.306153,5.023657684,0.170186428,6.140592785,6.682142686,16.56194438,0,3.847118267,0.28546131,27.37666664,22.6405899,-9.468885484,,,,0.257,,0.005,,,,0.003,,0.0124,,,0.05,,0.01,0.007,0.003,0.0065,0.007,,0.011,,,,
20,CCMO-1490 ,11-08-2022 00:00:00,P12,374532,6961286,491.3,0.1015,145.555,40.19,3.642,88.805,0,214.17,132.7,17.807,0.00101,7.3,5.114511763,,,1.36,16.45,1038,1275,Salobre,7.263586007,3.307138449,0.09314983,3.862800024,3.743015342,10.22864019,0,3.509999656,0.001636967,17.48329216,14.52667431,-9.236554027,,,,0.184,,0.0008,,,,0.003,,0.00995,,,0.33,,0.00074,0.007,0.00017,4.00E-05,0.00472,,0.011,,,,
