Cod_Muestra,Tipo,Fecha,Evento,Salinidad,TDS,Na,K,Mg,Ca,Cl,SO4,HCO3,CO3
CPO-RT-039,Pozo,2009-10-08 00:00:00,Pre Subsidencia,Salobre,1776.72,170.0,5.75,82.5,290.0,295.0,799.0,225.0,0.0
SOC-FF-01,IM270 G4,2022-08-15 00:00:00,Post Subsidencia,Salobre,1319.0,146.3,7.7,80.0,290.0,212.6,815.2,124.3,0.0
SOC-FF-02,IM270 G12,2022-08-15 00:00:00,Post Subsidencia,Salobre,1439.0,156.0,8.8,75.0,340.0,295.5,900.5,101.4,0.0
SOC-FF-03,IM60,2022-08-15 00:00:00,Post Subsidencia,Salobre,1644.0,172.8,11.8,87.5,457.5,253.6,1270.7,74.7,0.0
SOC-CM-01,Pozo Ag. Copayapu,2022-08-19 00:00:00,Post Subsidencia,Dulce mineralizada,544.0,93.0,4.5,45.0,103.0,111.817,481.101,42.0,0.0
SOC-CM-02,P12,2022-08-21 00:00:00,Post Subsidencia,Dulce mineralizada,737.0,92.5,4.4,45.0,175.0,134.599,461.688,188.0,0.0
SOC-CM-03,Pozo 8,2022-08-21 00:00:00,Post Subsidencia,Salobre,1204.0,132.5,5.3,45.0,255.0,210.307,628.946,215.0,0.0
XTERRAE A-1,IM200,2015-10-22 00:00:00,Pre Subsidencia,Salobre,1754.0,151.0,6.733,69.29,272.5,281.12,895.83,218.5307762,0.0
XTERRAE A-2,IM135,2015-10-22 00:00:00,Pre Subsidencia,Salada,9704.0,1119.0,6.09,15.76,1232.0,2566.6,2192.05,61.06186218,0.0
XTERRAE A-3,IM60,2015-10-22 00:00:00,Pre Subsidencia,Salobre,4004.0,593.3,12.01,113.0,743.0,744.7,2066.83,153.2031153,0.0
XTERRAE A-4,IM60,2015-10-22 00:00:00,Pre Subsidencia,Salada,7402.0,947.1,3.225,0.98,946.4,1987.6,1675.73,9.140997332,0.0
XTERRAE A-6,P14,2015-10-22 00:00:00,Pre Subsidencia,Salobre,1224.0,102.8,3.945,52.39,171.7,115.04,654.0,241.4442095,0.0
VAI 1,IM200,2018-08-01 00:00:00,Pre Subsidencia,Salobre,1668.0,174.0,7.5,73.3,305.8,200.87,729.0,243.150772,0.0
VAI 2,IM300,2018-08-01 00:00:00,Pre Subsidencia,Salobre,2632.0,236.8,9.6,113.2,466.6,392.6,1052.0,197.0800994,0.0
VAI 3,IM170,2018-08-01 00:00:00,Pre Subsidencia,Salobre,1924.0,306.1,7.6,38.8,406.2,218.3,886.0,181.7232085,0.0
VAI 5,IM256,2018-08-01 00:00:00,Pre Subsidencia,Salobre,1076.0,136.9,6.1,40.7,197.1,85.9,498.0,189.401654,0.0
SOC-FF-06,CANDELARIA,2022-09-01 00:00:00,Post Subsidencia,Salada,5692.0,1040.0,85.0,50.0,775.0,1447.0,2189.3,47.0,0.0
SOC-FF-08,CANDELARIA,2022-09-01 00:00:00,Post Subsidencia,Salobre,4675.0,1030.0,45.0,50.0,435.0,904.0,2150.4,58.0,0.0
SOC-FF-09,CANDELARIA,2022-09-01 00:00:00,Post Subsidencia,Salada,5189.0,815.0,190.0,10.0,775.0,1082.9,2269.6,11.0,4.9
SOC-FF-10,IM60,2022-09-01 00:00:00,Post Subsidencia,Salobre,3433.0,212.5,13.0,122.5,680.0,299.93,2021.905,63.51,0.0
SOC-FF-11,IM200,2022-09-01 00:00:00,Post Subsidencia,Salobre,1681.0,157.5,9.6,70.0,302.5,199.425,820.105,208.57,0.0
SOC-FF-13,IM270 G4,2022-09-01 00:00:00,Post Subsidencia,Salobre,1590.0,147.5,6.9,70.0,287.5,185.175,766.88,227.25,0.0
CCMO-1491 ,HA01,2022-08-11 00:00:00,Post Subsidencia,Dulce mineralizada,980.0,103.688,4.343,40.67,82.006,129.78,405.81,102.85,0.0
CCMO-1492 ,IM200,2022-08-11 00:00:00,Post Subsidencia,Salobre,1856.0,160.274,9.686,66.07,244.853,249.3,885.3,206.91,0.0
CCMO-1509 ,IM270 G4,2022-08-11 00:00:00,Post Subsidencia,Salobre,1736.0,141.171,6.654,61.05,226.564,236.9,795.5,234.74,0.0
CCMO-1490 ,P12,2022-08-11 00:00:00,Post Subsidencia,Salobre,1038.0,88.805,3.642,40.19,145.555,132.7,491.3,214.17,0.0
CCMO-1950 ,IM200,2022-08-18 00:00:00,Post Subsidencia,Salobre,1734.0,150.35,8.512,62.53,230.192,222.921,832.43,222.64,0.0
CCMO-1951 ,IM270 G4,2022-08-18 00:00:00,Post Subsidencia,Salobre,1656.0,136.615,6.197,58.64,207.303,197.538,767.989,245.63,0.0
CCMO-1952 ,P12,2022-08-18 00:00:00,Post Subsidencia,Salobre,1016.0,82.465,3.46,36.93,135.792,125.643,434.247,202.07,0.0
CPM-JC-07,Pozo,2018-04-25 00:00:00,Pre Subsidencia,Salobre,1143.0,75.0,1.8,25.0,243.0,119.0,649.0,55.0,0.0
