Cod,Tipo,Fecha,Al,Cu,Cr,F,Fe,Mn,Mg,Se,Zn,As,Cd,Hg,NO3,Pb,Cl,SO4,TDS,Marker,Color,Alpha,Size,Fuente
CPO-CE-047,Pozo,2010-01-21 00:00:00,0.01,0.005,0.002,0.46,1.2,0.0015,70.0,0.008,0.021,0.005,0.001,,17.0,0.001,234.0,644.0,1489.38,D,red,1.0,8.0,"Espinoza et. al., 2021"
CPO-CE-051,Pozo,2010-01-23 00:00:00,0.021,0.005,0.001,0.45,0.91,0.0015,52.5,0.0025,0.005,0.005,0.001,,9.1,0.001,142.0,552.0,1219.57,D,gray,1.0,8.0,"Espinoza et. al., 2021"
CPO-CE-018,Pozo,2008-08-29 00:00:00,0.01,0.005,0.001,0.53,1.302,0.0015,67.5,0.006,0.011,0.0025,0.001,0.00015,1.5,0.001,23.0,1298.0,1885.76,D,red,1.0,8.0,"Espinoza et. al., 2021"
SOC-FF-01,IM270 G4,2022-08-15 00:00:00,0.5,0.1265,0.0005,,0.2,0.037,80.0,0.0025,0.0285,0.0025,0.001,0.0004,20.6,0.001,212.6,815.2,1319.0,>,limegreen,1.0,8.0,"Sernageomin, 2022"
SOC-FF-02,IM270 G12,2022-08-15 00:00:00,1.0,0.05,0.0005,,2.2,0.2933,75.0,0.0025,0.0176,0.0025,0.001,0.00015,7.7,0.001,295.5,900.5,1439.0,<,limegreen,1.0,8.0,"Sernageomin, 2022"
SOC-FF-03,IM60,2022-08-15 00:00:00,0.5,0.6,0.0005,,0.4,0.3931,87.5,0.0058,0.2671,0.0025,0.001,0.001,28.0,0.001,253.6,1270.7,1644.0,s,limegreen,1.0,8.0,"Sernageomin, 2022"
SOC-CM-01,Pozo,2022-08-19 00:00:00,1.0,1.6,0.0005,,1.1,0.21,45.0,0.0025,0.022,0.0025,0.001,0.0003,1.5,0.001,111.8,481.1,544.0,D,gray,1.0,8.0,"Sernageomin, 2022"
SOC-CM-02,P12,2022-08-21 00:00:00,1.0,0.6,0.0005,,0.56,0.43,45.0,0.0025,0.023,0.0025,0.001,0.00015,3.1,0.001,134.6,461.7,737.0,*,peru,1.0,8.0,"Sernageomin, 2022"
P1,IM270 G4,2022-08-11 00:00:00,0.3,0.22,0.015,,0.15,0.05,75.8,0.0015,0.005,0.003,0.005,,,0.01,,812.3,,>,black,1.0,8.0,"DGA, 2022"
P2,IM200,2022-08-11 00:00:00,0.3,1.2,0.015,,0.94,0.21,81.3,0.0015,0.06,0.006,0.005,,,0.01,,997.9,,^,black,1.0,8.0,"DGA, 2022"
