Nombre,CÓDIGO SNGM BBDD,Fecha,pH,SALINIDAD,Deuterio,O18,O2,Ca,Mg,Na,K,Li,CO3,HCO3,ION H+,SO4,Cl,NO3,F,Al,Sb,As,Ba,Be,B,Cd,Co,Cu,Cr,Sn,P,Fe,Mn,Hg,Mo,Ni,Ag,Pb,Se,V,Zn,Dureza T,Dureza Carb,Dureza No Carb,TDS 103,COTA,Este,Norte,Nombre largo,Conductividad eléctrica uS/cm,Tipo,Solidos Disueltos Totales TDS,Ferrico,Ferroso,T,ORP,Fuente,Unnamed: 0,Hora,Ab,Va,Br   ,Rb   ,Sr   ,Cs   ,Hf   ,Ta   ,Th   ,U    ,  Ga  ,  Ge  ,Tl   ,Si,eH,Do,ppmDO,Exceso Deuterio
CPO-CE-058,SNGM-CPO-001,27-01-2010,7.45,1.5,,,5.83,260.0,110.0,360.0,7.1,0.46,0,361.0,,1184.0,193.0,8.4,0.38,0.01,0.005,0.006,0.012,0.001,3.69,0.001,0.001,0.005,0.001,0.0015,0.025,1.1,0.0015,,0.0025,,0.001,0.001,0.012,0.004,0.005,1101.15,295.9,805.25,2428.98,212.0,343167.0,6975132.0,Fundo los Mamoros; pozo Olivar Viejo (pozo n° 1),2910,Pozo,2300.17,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-CE-015,SNGM-CPO-002,28-08-2008,7.24,1,,,5.64,260.0,72.5,187.5,5.0,0.28,0,322.0,,834.0,159.0,27.7,0.42,0.01,0.005,0.0025,0.017,0.001,2.29,0.001,0.001,0.005,0.001,0.0015,0.025,1.853,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.005,0.019,946.91,263.81,683.1,1828.64,317.0,361253.0,6977648.0,Agrícola la Tranquera; pozo n° 1,2000,Pozo,1704.54,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-CE-007A,SNGM-CPO-007,12-06-2008,0, ,-85.7,-11.12, ,167.5,36.25,77.5,2.9,0.23,0,221.0,,407.0,65.0,17.5,0.56,0.01,0.005,0.0025,0.018,0.001,0.86,0.001,0.001,0.005,0.001,0.0015,0.025,0.493,0.004,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.004,0.005,567.02,181.3,385.72,933.27,922.0,389733.0,6921199.0,Fundo El Fuerte; pozo n° 3 ,1240,Pozo,883.77,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RT-027,SNGM-CPO-007,01-10-2009,7.37, ,,,3.67,140.0,35.5,97.5,2.9,0.22,0,214.0,,415.0,68.0,20.1,0.59,0.01,0.005,0.0025,0.018,0.001,0.6,0.001,0.001,0.005,0.0005,0.0015,0.025,0.602,0.003,,0.0025,0.0025,0.001,0.001,0.0025,0.004,0.005,495.32,175.3,320.02,934.06,922.0,389733.0,6921199.0,Fundo El Fuerte; pozo n° 3 ,1240,Pozo,884.53,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-PF-065,SNGM-CPO-024,13-06-2008,7.29,0.4,,,5.97,180.0,38.75,77.5,2.7,0.3,0,215.0,,436.0,90.0,22.9,0.57,0.01,0.005,0.005,0.017,0.001,0.74,0.001,0.001,0.005,0.001,0.0015,0.025,0.622,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.005,0.004,0.011,608.49,176.45,432.04,1007.61,961.0,392383.0,6919737.0,Fundo Apacheta; pozo n° 1 ,1291,Pozo,954.18,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RC-030,SNGM-CPO-046,11-12-2008,7.13,0.7,-84.9,-10.67, ,210.0,54.5,127.5,4.7,0.3,0,305.0,,619.0,106.0,18.532,0.55,0.01,0.005,0.0025,0.013,0.001,1.22,0.001,0.001,0.005,0.001,0.0015,0.025,0.974,0.0015,0.00015,0.0025,0.0025,0.001,0.013,0.0025,0.004,0.014,748.12,249.88,498.24,1364.33,398.0,368912.0,6970775.0,Aguas Chañar; pozo Vicuña n° 2,1702,Pozo,1291.98,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RC-023,SNGM-CPO-068,05-12-2008,7.21,0.5,-83.8,-11.15,7.49,177.5,41.75,80.0,3.1,0.24,0,223.0,,435.0,82.0,30.504,0.69,0.01,0.005,0.006,0.019,0.001,1.36,0.001,0.001,0.005,0.002,0.0015,0.09,0.396,0.0015,0.00015,0.005,0.0025,0.001,0.061,0.009,0.004,0.167,614.59,182.87,431.73,1014.84,981.0,392898.0,6918500.0,Fundo Casa Rosada; pozo n° 1,1361,Pozo,961.02,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RT-077,SNGM-CPO-068,10-06-2010,7.26,0.5,,,6.28,160.0,41.0,80.0,3.6,0.2,0,208.0,,470.0,87.0,24.0,0.46,0.01,0.005,0.0025,0.019,0.001,0.61,0.001,0.001,0.005,0.0005,0.0015,0.025,0.8,0.0015,0.0023,0.0025,,0.001,0.001,0.008,0.003,0.005,568.0,170.0,397.0,1023.0,981.0,392898.0,6918500.0,Fundo Casa Rosada; pozo n° 1,1410,Pozo,969.0,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-CE-014,SNGM-CPO-069,27-08-2008,7.17,0.7,,,5.15,177.5,52.5,117.5,4.0,0.26,0,268.0,,568.0,94.0,9.3,0.56,0.01,0.005,0.006,0.013,0.001,1.53,0.001,0.001,0.005,0.111,0.0015,0.025,1.205,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.004,0.005,658.81,219.78,439.03,1221.09,370.0,367535.0,6971995.0,W. Hoschild; pozo no individualizado,1653,Pozo,1156.15,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-YP-040,SNGM-CPO-081,08-12-2008,7.08,0.5,-81.5,-10.95,6.5,180.0,46.5,102.5,4.2,0.26,0,284.0,,478.0,76.0,19.05,0.68,0.01,0.005,0.0025,0.015,0.001,0.97,0.001,0.001,0.005,0.0005,0.0015,0.025,0.94,0.0015,0.00015,0.0025,0.0025,0.001,0.003,0.0025,0.005,0.039,640.37,232.58,407.79,1105.45,771.0,382852.0,6931274.0,Fundo Deliber; pozo n° 4 sector Flames,1405,Pozo,1046.83,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
