,Unnamed: 0,Nombre,Fecha,Hora,Este,Norte,Nombre largo,Ca,Mg,Na,K,SO4,Cl,NO3,HCO3,CO3,Fe,Al,Cu,Ag,As,Cd,Cr,Mn,Mo,Ni,Pb,Se,Zn,Si,pH,eH,ORP,Do,ppmDO,Conductividad eléctrica uS/cm,Tipo,Solidos Disueltos Totales TDS,T,O18,Deuterio,Exceso Deuterio
0,0,SOC-FF-01,15-08-2022,16:48,374260,6961641,Gaby 4 en nivel 270 en galeria de producción,290.0,80.0,146.3,7.7,815.2,212.6,20.6,124.3,0.0,0.2,0.5,1.0,,,,,,,,,,,,7.8,-45.9,198.9,40.8,3.4,2637,IM270 G4,1319.0,22.2,-10.24,-78.92,23.48
1,1,SOC-FF-02,15-08-2022,16:48,374313,6961673,Gaby 12 en nivel 270 frente a GP,340.0,75.0,156.0,8.8,900.5,295.5,7.7,101.4,0.0,2.2,1.0,0.05,,,,,,,,,,,,7.2,-13.2,-26.6,34.2,3.9,2877,IM270 G12,1439.0,22.1,-10.11,-79.6,21.5
2,2,SOC-FF-03,15-08-2022,19:12,373712,6962224,Acopio de agua en fondo mina. nivel 60,457.5,87.5,172.8,11.8,1270.7,253.6,28.0,74.7,0.0,0.4,0.5,0.6,,,,,,,,,,,,7.1,-10.0,178.9,49.9,4.2,3289,IM60,1644.0,22.4,-9.93,-77.9,21.4
3,3,SOC-CM-01,19-08-2022,17:03,374838,6962270,Agrícola Copayapu pozo 478,103.0,45.0,93.0,4.5,481.101,111.817,1.5,42.0,0.0,0.05,1.0,1.6,,,,,,,,,,,,7.27,0.0,25.0,0.0,0.0,1088,Pozo,544.0,19.68,-10.38,-77.81,25.99
4,4,SOC-CM-02,21-08-2022,11:41,374530,6961290,Pozo 12 Alcaparrosa,175.0,45.0,92.5,4.4,461.688,134.599,3.051,188.0,0.0,0.05,1.0,0.6,,,,,,,,,,,,6.65,0.0,79.2,0.0,0.0,1333,Pozo,737.0,19.98,-7.42,-57.5,16.7
5,5,SOC-CM-03,21-08-2022,15:50,374652,6958601,Pozo 8 Pucobre en planta San José,255.0,45.0,132.5,5.3,628.946,210.307,20.478,215.0,0.0,0.1,1.5,0.4,,,,,,,,,,,,6.7,0.0,89.1,0.0,0.0,2402,Pozo 8,1204.0,23.7,-10.55,-83.4,22.1
6,6,SOC-FF-04,18-08-2022,18:36,378451,6939311,Río Copiapó en puente Pabellón,187.0,67.5,90.0,4.1,555.021,87.654,14.376,169.0,6.7,0.05,0.05,0.4,,,,,,,,,,,,8.1,0.0,91.4,0.0,0.0,1310,Río,665.0,19.36,-10.83,-85.9,22.4
7,7,P1,11-08-2022,,374260,6961641,Gaby 4,411.5,75.83,161.8,8.1,812.3,,,,,0.15,0.3,0.22,0.005,0.003,0.005,0.015,0.05,0.25,0.015,0.01,0.0015,0.005,12.47,7.81,,,,,2350,IM270 G4,,20.76,,,
8,8,P2,11-08-2022,,373853,6961653,Mangueras de desagüe de Gabys nivel 200,512.3,81.34,178.1,13.3,997.9,,,,,0.94,0.3,1.2,0.005,0.006,0.005,0.015,0.21,0.25,0.015,0.01,0.0015,0.06,9.91,7.83,,,,,2507,IM200,,21.04,,,
9,9,P3,11-08-2022,,374391,6961861,HA01,181.1,51.57,115.3,6.4,478.9,,,,,22.28,0.3,0.04,0.005,0.0015,0.005,0.015,0.18,0.25,0.015,0.01,0.0015,0.02,0.5,7.53,,,,,785,Pozo,,19.54,,,
10,10,P4,11-08-2022,,374530,6961290,P12,200.3,40.91,84.3,4.6,458.9,,,,,14.6,0.3,0.01,,0.0015,0.005,0.015,0.41,0.25,0.015,0.01,0.0015,0.01,6.91,7.24,,,,,1512,Pozo,,20.27,,,
11,11,XTERRAE A-1,22-10-2015,,374242,6961890,Jocelyn N200 Chorro que sale de muro,272.5,69.29,151.0,6.733,895.83,281.12,0.86,218.5307762,0.0,0.015,0.1,0.005,0.005,0.1,0.005,0.005,0.154,0.015,0.025,0.025,0.1,0.0025,8.515,7.16,,,,,1340,IM200,1754.0,22.9,-10.85,-82.6,4.2
12,12,XTERRAE A-2,22-10-2015,,374055,6962264,Jimena Nivel 135 Goteo Techo N135,1232.0,15.76,1119.0,6.09,2192.05,2566.6,0.025,61.06186218,0.0,0.219,0.238,0.005,0.005,0.1,0.005,0.005,0.364,0.015,0.025,0.025,0.1,0.0025,6.329,6.88,,,,,6290,IM135,9704.0,22.7,-10.02,-77.4,2.76
13,13,XTERRAE A-3,22-10-2015,,373815,6962167,Rocio Nivel 60 Agua que escurre por muro y reja oxidada,743.0,113.0,593.3,12.01,2066.83,744.7,0.39,153.2031153,0.0,0.015,0.272,0.07,0.005,0.1,0.005,0.005,2.475,0.015,0.025,0.025,0.1,0.0025,8.322,7.27,,,,,3730,IM60,4004.0,25.0,-7.74,-63.6,-1.68
14,14,XTERRAE A-4,22-10-2015,,373750,6962079,Rocio Nivel 40 Saliente de agua desde roca n 40,946.4,0.98,947.1,3.225,1675.73,1987.6,2.17,9.140997332,0.0,0.015,0.005,0.005,0.005,0.1,0.005,0.005,0.046,0.038,0.025,0.025,0.1,0.0025,4.438,8.55,,,,,6560,IM40,7402.0,26.3,-6.69,-57.6,-4.08
15,15,XTERRAE A-6,22-10-2015,,374633,6960813,Pozo 14,171.7,52.39,102.8,3.945,654.0,115.04,2.5,241.4442095,0.0,0.015,0.005,0.159,0.005,0.1,0.005,0.005,0.006,0.015,0.025,0.025,0.1,0.0025,12.13,7.1,,,,,1190,Pozo,1224.0,36.1,-10.2,-77.6,4.0
16,16,VAI 1,01-08-2018,,374440,6962016,Jocelyn N200,305.8,73.3,174.0,7.5,729.0,200.87,13.5,243.150772,0.0,0.001,0.27,0.1,,0.019,,,0.09,0.0035,0.00015,,,1.82,,7.31,,,,,2094,IM200,1668.0,21.46,,,
17,17,VAI 2,01-08-2018,,374376,6961952,Nivel 300,466.6,113.2,236.8,9.6,1052.0,392.6,72.2,197.0800994,0.0,0.001,0.2,0.12,,0.023,,,0.069,0.006,0.00015,,,0.00025,,7.09,,,,,3022,IM300,2632.0,21.15,,,
18,18,VAI 3,01-08-2018,,374469,6962546,Nivel 170,406.2,38.8,306.1,7.6,886.0,218.3,4.74,181.7232085,0.0,0.001,0.41,0.0037,,0.025,,,0.073,0.0049,0.00015,,,0.00025,,7.18,,,,,2288,IM170,1924.0,23.99,,,
19,19,VAI 5,01-08-2018,,374533,6962908,Nivel 256 Viviana,197.1,40.7,136.9,6.1,498.0,85.9,2.55,189.401654,0.0,0.001,0.17,0.0013,,0.018,,,0.048,0.0026,0.00015,,,0.00025,,7.46,,,,,1377,IM256,1076.0,21.98,,,
20,20,SOC-FF-05,27-08-2022,,373665,6962133,Rampa principal altura nivel 80 sector R2 directamente en agua embalsada,,,,,,,,,,,,,,,,,,,,,,,,6.91,,114.9,,,3316,IM80,,22.66,,,
21,21,SOC-FF-06,01-09-2022,,372534,6955776,Fondo de rajo Candelaria,775.0,50.0,1040.0,85.0,2189.3,1447.0,82.1,47.0,0.0,0.05,0.05,0.1,,,,,,,,,,,,7.45,,85.6,,2.04,8144,CANDELARIA,5692.0,18.9,-2.95,-34.44,-10.84
