Nombre,Fecha,Hora,Este,Norte,Nombre largo,Ca,Mg,Na,K,SO4,Cl,NO3,HCO3,CO3,Fe,Al,Cu,Ag,As,Cd,Cr,Mn,Mo,Ni,Pb,Se,Zn,Si,pH,eH,ORP,Do,ppmDO,Conductividad eléctrica uS/cm,Tipo,Solidos Disueltos Totales TDS,T,O18,Deuterio,Exceso Deuterio
SOC-FF-01,15-08-2022,16:48,374463,6961980,Gaby 4 en nivel 270 en galeria de producción,290,80,146.3,7.7,815.2,212.6,20.6,124.3,0,0.2,0.5,1,,,,,,,,,,,,7.8,-45.9,198.9,40.8,3.4,2637,IM270 G4,1319,22.2,-10.24,-78.92,23.48
SOC-FF-02,15-08-2022,16:48,374516,6962012,Gaby 12 en nivel 270 frente a GP,340,75,156,8.8,900.5,295.5,7.7,101.4,0,2.2,1,0.05,,,,,,,,,,,,7.2,-13.2,-26.6,34.2,3.9,2877,IM270 G12,1439,22.1,-10.11,-79.6,21.5
SOC-FF-03,15-08-2022,19:12,373915,6962563,Acopio de agua en fondo mina. nivel 60,457.5,87.5,172.8,11.8,1270.7,253.6,28,74.7,0,0.4,0.5,0.6,,,,,,,,,,,,7.1,-10,178.9,49.9,4.2,3289,IM60,1644,22.4,-9.93,-77.9,21.4
SOC-CM-03,21-08-2022,15:50,374652,6958601,Pozo 8 Pucobre en planta San José,255,45,132.5,5.3,628.946,210.307,20.478,215,0,0.1,1.5,0.4,,,,,,,,,,,,6.7,0,89.1,0,0,2402,Pozo 8,1204,23.7,-10.55,-83.4,22.1
SOC-FF-04,18-08-2022,18:36,378451,6939311,Río Copiapó en puente Pabellón,187,67.5,90,4.1,555.021,87.654,14.376,169,6.7,0.05,0.05,0.4,,,,,,,,,,,,8.1,0,91.4,0,0,1310,Río,665,19.36,-10.83,-85.9,22.4
XTERRAE A-1,22-10-2015,,374242,6961890,Jocelyn N200 Chorro que sale de muro,272.5,69.29,151,6.733,895.83,281.12,0.86,218.5307762,0,0.015,0.1,0.005,0.005,0.1,0.005,0.005,0.154,0.015,0.025,0.025,0.1,0.0025,8.515,7.16,,,,,1340,IM200,1754,22.9,-10.85,-82.6,4.2
XTERRAE A-2,22-10-2015,,374055,6962264,Jimena Nivel 135 Goteo Techo N135,1232,15.76,1119,6.09,2192.05,2566.6,0.025,61.06186218,0,0.219,0.238,0.005,0.005,0.1,0.005,0.005,0.364,0.015,0.025,0.025,0.1,0.0025,6.329,6.88,,,,,6290,IM135,9704,22.7,-10.02,-77.4,2.76
XTERRAE A-3,22-10-2015,,373815,6962167,Rocio Nivel 60 Agua que escurre por muro y reja oxidada,743,113,593.3,12.01,2066.83,744.7,0.39,153.2031153,0,0.015,0.272,0.07,0.005,0.1,0.005,0.005,2.475,0.015,0.025,0.025,0.1,0.0025,8.322,7.27,,,,,3730,IM60,4004,25,-7.74,-63.6,-1.68
XTERRAE A-4,22-10-2015,,373750,6962079,Rocio Nivel 40 Saliente de agua desde roca n 40,946.4,0.98,947.1,3.225,1675.73,1987.6,2.17,9.140997332,0,0.015,0.005,0.005,0.005,0.1,0.005,0.005,0.046,0.038,0.025,0.025,0.1,0.0025,4.438,8.55,,,,,6560,IM40,7402,26.3,-6.69,-57.6,-4.08
XTERRAE A-6,22-10-2015,,374633,6960813,Pozo 14,171.7,52.39,102.8,3.945,654,115.04,2.5,241.4442095,0,0.015,0.005,0.159,0.005,0.1,0.005,0.005,0.006,0.015,0.025,0.025,0.1,0.0025,12.13,7.1,,,,,1190,Pozo,1224,36.1,-10.2,-77.6,4
SOC-FF-06,01-09-2022,,372737,6956115,Fondo de rajo Candelaria,775,50,1040,85,2189.3,1447.0,82.1,47.0,0,0.10,0.10,0.10,,,,,,,,,,,,7.45,,85.6,,2.04,8144,CANDELARIA,5692,18.9,-2.95,-34.44,-10.84
SOC-FF-08,01-09-2022,,372199,6956927,Drenes perimetrales sector Falla LAR ,435,50,1030,45,2150.4,904.0,31.1,58.0,0,0.10,0.10,0.02,,,,,,,,,,,,7.64,,80.6,,3.33,6228,CANDELARIA,4675,22.54,-3.39,-34.2,-7.08
SOC-FF-09,01-09-2022,,368795,6954138,Depósito de Relaves en sector balsas,775,10,815,190,2269.6,1082.9,35.2,11.0,4.9,0.10,0.10,0.04,,,,,,,,,,,,9.11,,81.5,,3.49,6739,CANDELARIA,5189,21.06,-0.76,-15.3,-9.22
SOC-FF-10,01-09-2022,,373868,6962472,Agua Embalsada Fondo de mina nivel 80,680,122.5,212.5,13,2021.9,299.9,51.6,63.5,0,0.40,0.10,8.30,,,,,,,,,,,,6.18,,140.3,,0.31,3851,IM80,3433,23.23,-9.87,-76.1,2.86
SOC-FF-11,01-09-2022,,374056,6961992,Mangueras de desagüe de Gabys nivel 200,302.5,70,157.5,9.6,820.1,199.4,18.6,208.6,0,0.40,0.10,0.25,,,,,,,,,,,,7.79,,73.7,,4.25,2305,IM200,1681,21.34,-10.19,-78.2,3.32
SOC-FF-13,01-09-2022,,374463,6961980,Gaby 4 en nivel 270 en galería de producción directo del flujo superficial,287.5,70,147.5,6.9,766.9,185.2,14.2,227.3,0,0.40,0.10,0.12,,,,,,,,,,,,7.66,,78.2,,5.96,2158,IM270 G4,1590,20.61,-10.28,-80,2.24
