;CO3;Ca;Cl;HCO3;K;Mg;Na;SO4;Label;Sample;Size;Alpha;Color;Marker
0;0.0;31.5;8.688;40.15;1.2;4.0;9.5;66.034;Rio Grande Alto / Superficial;LIM-JC-038;50;1;red;s
1;0.0;11.6;1.97;36.2;0.12;0.3;0.8;3.075;Rio Grande Alto / Superficial;LIM-FF-009;50;1;red;s
2;0.0;13.5;8.013;35.9;0.9;1.9;8.3;25.18;Rio Grande Alto / Superficial;LIM-FF-010;50;1;red;s
3;0.0;24.0;7.93;57.5;0.82;3.3;9.0;26.04;Rio Grande Alto / Superficial;LIM-FF-011;50;1;red;s
4;15.0;40.0;14.0;84.0;0.62;7.2;13.0;37.0;Rio Grande Alto / Superficial;LIM-FF-086;50;1;red;s
5;0.0;16.5;3.74;52.5;0.44;1.5;4.1;12.38;Rio Grande Alto / Superficial;LIM-JC-008;50;1;red;s
6;0.0;17.5;1.03;65.2;0.76;1.7;5.5;6.97;Rio Grande Alto / Superficial;LIM-FF-007;50;1;red;s
7;0.0;77.0;7.591;221.8;1.4;13.5;17.0;76.567;Rio Grande Alto / Superficial;LIM-JC-039;50;1;red;s
8;0.0;34.5;6.33;47.8;1.18;4.5;8.5;84.85;Rio Grande Alto / Superficial;LIM-FF-006;50;1;red;s
9;0.0;21.0;1.6;81.0;0.5;4.5;7.5;18.0;Rio Grande Alto / Superficial;LIM-CE-005;50;1;red;s
10;0.0;29.0;20.0;65.93;0.5;3.5;15.0;42.0;Rio Grande Alto / Superficial;LIM-CE-004;50;1;red;s
11;0.0;17.0;2.3;46.88;0.5;0.5;2.0;8.6;Rio Grande Alto / Superficial;LIM-CE-003;50;1;red;s
12;8.2;45.0;14.0;137.0;0.8;11.0;14.0;57.0;Rio Grande Bajo / Subterranea;LIM-FF-044;50;1;magenta;o
13;0.0;46.3;13.351;149.43;2.3;10.7;17.5;55.201;Rio Grande Bajo / Superficial;LIM-JC-094;50;1;magenta;s
14;0.0;45.0;10.538;143.24;2.6;9.0;15.7;47.292;Rio Grande Bajo / Superficial;LIM-JC-021;50;1;magenta;s
15;7.98;52.5;26.088;134.75;2.3;15.0;32.0;78.147;Rio Grande Bajo / Superficial;LIM-LM-021;50;1;magenta;s
16;9.75;28.3;7.61;59.5;1.42;6.8;11.0;38.43;Rio Grande Bajo / Superficial;LIM-JC-007;50;1;magenta;s
17;0.0;35.5;7.275;171.0;0.6;17.5;34.5;62.706;Rio Grande Bajo / Superficial;LIM-NC-d05;50;1;magenta;s
18;0.0;0.7;0.5;3.2;0.12;1.4;0.9;2.3;Rio Grande Medio / Precipitacion;LIM-FF-081;50;1;yellow;d
19;14.7;108.5;44.817;291.38;1.6;22.8;51.5;149.362;Rio Grande Medio / Subterranea;LIM-JC-092;50;1;yellow;o
20;5.52;52.0;2.979;110.06;0.87;10.0;12.5;89.871;Rio Grande Medio / Subterranea;LIM-NC-012;50;1;yellow;o
21;0.0;121.3;43.803;317.21;2.2;22.5;47.5;137.114;Rio Grande Medio / Subterranea;LIM-JC-044;50;1;yellow;o
22;17.04;113.8;45.884;252.83;1.99;22.5;48.8;136.375;Rio Grande Medio / Subterranea;LIM-CE-001;50;1;yellow;o
23;0.0;35.0;5.186;90.34;0.5;4.8;10.8;38.67;Rio Grande Medio / Subterranea;LIM-CE-017;50;1;yellow;o
24;0.0;63.8;4.441;230.23;1.2;11.8;18.5;44.818;Rio Grande Medio / Superficial;LIM-JC-024;50;1;yellow;s
25;0.0;35.0;3.4;134.3;0.5;11.0;16.0;43.0;Rio Grande Medio / Superficial;LIM-CE-024;50;1;yellow;s
26;0.0;72.5;8.857;301.35;1.2;18.8;30.3;46.795;Rio Grande Medio / Superficial;LIM-JC-023;50;1;yellow;s
27;0.0;28.0;4.8;115.98;0.5;12.0;18.0;45.0;Rio Grande Medio / Superficial;LIM-CE-023;50;1;yellow;s
28;0.0;29.0;13.0;98.89;0.5;10.0;18.0;56.0;Rio Grande Medio / Superficial;LIM-CE-022;50;1;yellow;s
29;0.0;71.0;2.928;133.33;1.4;8.0;10.0;105.776;Rio Grande Medio / Superficial;LIM-JC-037;50;1;yellow;s
30;0.0;84.0;1.631;202.22;0.9;7.0;8.5;74.669;Rio Grande Medio / Superficial;LIM-JC-036;50;1;yellow;s
31;0.0;51.5;2.038;25.77;1.0;7.0;7.5;139.668;Rio Grande Medio / Superficial;LIM-JC-035;50;1;yellow;s
32;0.0;42.0;11.951;123.56;2.8;9.0;18.5;52.769;Rio Grande Medio / Superficial;LIM-JC-025;50;1;yellow;s
33;0.0;24.8;2.3;82.0;0.45;6.1;9.5;36.272;Rio Grande Medio / Superficial;LIM-JC-006;50;1;yellow;s
34;0.0;42.0;1.42;50.6;0.18;2.0;2.1;59.1;Rio Grande Medio / Superficial;LIM-NC-001;50;1;yellow;s
35;4.8;62.0;3.164;102.5;1.25;7.0;9.0;110.437;Rio Grande Medio / Superficial;LIM-NC-013;50;1;yellow;s
36;0.0;60.0;2.86;223.04;0.4;9.8;16.5;35.174;Rio Grande Medio / Superficial;LIM-JC-022;50;1;yellow;s
37;4.32;47.5;1.282;95.91;0.93;6.0;7.0;72.859;Rio Grande Medio / Superficial;LIM-NC-011;50;1;yellow;s
38;0.0;47.5;1.843;20.26;0.82;6.0;5.0;132.65;Rio Grande Medio / Superficial;LIM-NC-010;50;1;yellow;s
